Team,Market ,medIncome,2007,2008,2009,2010,2011,2012,2013,2014
New York Knicks,7461030,57799,70.51,70.51,70.51,68.04,88.66,117.47,123.22,129.38
Los Angeles Lakers,5665780,45903,84.38,89.24,93.25,93.25,95.25,99.25,100.25,102.25
Los Angeles Clippers,5665780,45903,52.49,57,54.5,53.5,51.47,51.47,63.1,65.55
Chicago Bulls,3534080,51046,54.62,63,64.25,64.25,64.25,68.37,71.9,77.65
Philadelphia 76ers,2963500,47528,46.83,43,43,43,41,39.25,39.25,39.25
Dallas Mavericks,2655290,47418,54.24,60.56,62.1,51.52,49.45,49.45,51.8,51.8
Golden State Warriors,2518900,63024,26.63,31.13,39,37.5,34.13,34.13,35.7,44.27
Boston Celtics,2433040,52792,57.04,65.43,68.55,68.55,68.55,68.55,72.96,72.96
Washington Wizards,2412250,57291,46.83,30.89,29.14,27.21,24.52,23.64,32.24,30.31
Atlanta Hawks,2375050,51948,42.18,38,36.9,51.78,36.13,36.13,34.75,35.26
Houston Rockets,2289360,44761,38.64,41.98,43.4,42.87,41.41,41,45.65,57.15
Detroit Pistons,1856400,49160,46.23,47.5,47.5,47.5,42.76,41.26,40.1,40.1
Phoenix Suns,1855310,44752,53.68,58.26,64.16,64.16,62.5,60.63,57.28,57.23
Minnesota Timberwolves,1748070,54304,40.26,39.97,36.26,34.5,31.5,31.5,34.8,35.5
Miami Heat,1663290,38632,56.55,58.55,58.55,58.55,60.5,67,72.5,78.3
Denver Nuggets,1574610,51088,42.72,44.29,47.3,47.3,47.3,47.3,54.23,53.15
Orlando Magic,1490380,41871,35.29,38.46,40.3,40.3,43,43.65,41.18,39.4
Cleveland Cavaliers,1484530,42215,50.02,56.1,55.95,55.95,52.28,48.62,47.15,43.31
Sacramento Kings,1387950,46106,59.8,59.8,59.8,57.5,51.8,48.17,43.32,43.32
Portland Trail Blazers,1185160,46090,45.34,47.34,61.21,63.05,50.62,48.4,48.4,51.3
Charlotte Bobcats,1157920,44356,29.1,29.1,33.25,33.25,29.96,29.27,29.27,29.27
Indiana Pacers,1096650,45548,42.39,42.39,41.09,30.02,29.13,30.59,31.62,31.62
Utah Jazz,921240,48594,38.75,41.31,43.9,43.9,41.47,42.1,43.5,44.5
Milwaukee Bucks,916540,46132,46.03,47.64,47.86,46,46,46,48.71,47.7
San Antonio Spurs,906210,39140,45.88,51.45,56.37,55.47,56.34,58.45,58.45,57.25
Oklahoma City Thunder,730020,36797,34.3,35,36.35,45.99,45.99,47.15,47.15,51.35
Memphis Grizzlies,674950,40201,35.49,36.82,24.11,24.1,23.18,22.95,29.49,30.04
New Orleans Pelicans,652180,35317,24.58,24.58,25.17,26.75,29.26,30.49,29.85,26.87
Toronto Raptors,2703000,68110,47,55.11,45.31,49.32,50.97,46.98,46.13,48.7
Brooklyn Nets,7461030,57799,NA,NA,NA,NA,NA,NA,55.89,60.5
New Jersey Nets,7461030,57799,60.98,60.98,54.98,44.51,40.5,37.06,NA,NA
